"Мир, природа",,
south,[saʊθ] ,юг
west,[wɛst] ,запад 
north,[nɔːθ] ,север
east,[iːst] ,восток 
world,[wɜːld] ,мир 
water,[ˈwɔːtə] ,вода 
air,[eə] ,воздух
field,[fiːld] ,поле 
light,[laɪt] ,свет 
space,[speɪs] ,пространство (космос) 
earth,[ɜːθ] ,земля (в т.ч. планета)
ground,[graʊnd] ,земля (под ногами)
soil,[sɔɪl] ,почва
land,[lænd] ,"земля (территория, страна)"
star,[stɑː] ,звезда
fire,[ˈfaɪə] ,огонь (пожар)
nature,[ˈneɪʧə] ,природа 
environment,[ɪnˈvaɪərənmənt] ,окружающая среда
rock,[rɒk] ,камень (скала)
sea,[siː] ,море 
seashore,[ˈsiːʃɔː] ,берег моря
sort,[sɔːt] ,сорт (разновидность)
planet,[ˈplænɪt] ,планета 
weather,[ˈwɛðə] ,погода 
heat,[hiːt] ,жара
wind,[wɪnd] ,ветер 
track,[træk] ,тропа (дорожка)
sky,[skaɪ] ,небо 
camp,[kæmp] ,лагерь 
stone,[stəʊn] ,камень 
ice,[aɪs] ,лед 
sun,[sʌn] ,солнце
wood,[wʊd] ,древесина (лес)
mountain,[ˈmaʊntɪn] ,гора 
river,[ˈrɪvə] ,река 
wave,[weɪv] ,волна 
atmosphere,[ˈætməsfɪə] ,атмосфера 
storm,[stɔːm] ,буря
universe,[ˈjuːnɪvɜːs] ,вселенная 
dirt,[dɜːt] ,грязь 
rain,[reɪn] ,дождь 
pollution,[pəˈluːʃən] ,загрязнение 
disaster,[dɪˈzɑːstə] ,катастрофа 
climate,[ˈklaɪmɪt] ,климат 
moon,[muːn] ,луна 
cloud,[klaʊd] ,облако 
lake,[leɪk] ,озеро 
ocean,[ˈəʊʃən] ,океан 
island,[ˈaɪlənd] ,остров 
landscape,[ˈlænskeɪp] ,пейзаж 
sand,[sænd] ,песок 
peak,[piːk] ,пик 
coast,[kəʊst] ,побережье 
pole (geography),[pəʊl] ,полюс (напр. Северный полюс)
flow,[fləʊ] ,поток
stream,[striːm] ,поток 
desert,[ˈdɛzət] ,пустыня 
diversity,[daɪˈvɜːsɪti] ,разнообразие 
relief,[rɪˈliːf] ,рельеф 
snow,[snəʊ] ,снег 
darkness,[ˈdɑːknɪs] ,тьма 
hill,[hɪl] ,холм 
bank ,[bæŋk]  ,берег реки
dust,[dʌst] ,пыль 
stick,[stɪk] ,палка 
silence,[ˈsaɪləns] ,тишина 
reality,[ri(ː)ˈælɪti] ,реальность 
shadow,[ˈʃædəʊ] ,тень 
selection,[sɪˈlɛkʃən] ,отбор
top,[tɒp] ,вершина
"Животные, растения",,
bird,[bɜːd] ,птица 
poultry,[ˈpəʊltri] ,домашняя птица
duck,[dʌk] ,утка
chicken,[ˈʧɪkɪn] ,курица (цыпленок)
"cock, rooster","[kɒk], [ˈruːstə] ",петух
"pigeon, dove","[ˈpɪʤɪn], [dʌv] ",голубь
sparrow,[ˈspærəʊ] ,воробей
crow,[krəʊ] ,ворона
animal,[ˈænɪməl] ,животное 
domestic animal,[dəʊˈmɛstɪk ˈænɪməl] ,домашнее животное
wild animal,[waɪld ˈænɪməl] ,дикое животное
cow,[kaʊ] ,корова
bull,[bʊl] ,бык
horse,[hɔːs] ,лошадь 
pig,[pɪg] ,свинья
cat,[kæt] ,кот 
dog,[dɒg] ,собака 
mouse,[maʊs] ,мышь
wolf,[wʊlf] ,волк
fox,[fɒks] ,лиса
bear,[beə] ,медведь
deer,[dɪə] ,олень 
lion,[ˈlaɪən] ,лев
rabbit,[ˈræbɪt] ,кролик
growth,[grəʊθ] ,рост 
cell,[sɛl] ,клетка (биол.)
variety,[vəˈraɪəti] ,разнообразие 
evolution,[ˌiːvəˈluːʃən] ,эволюция 
fish,[fɪʃ] ,рыба 
egg,[ɛg] ,яйцо 
male (biol.),[meɪl],самец
female (biol.) ,[ˈfiːmeɪl],самка
wing,[wɪŋ] ,крыло 
creature,[ˈkriːʧə] ,существо 
tree,[triː] ,дерево 
root,[ruːt] ,корень 
leaf,[liːf] ,лист растения
plant,[plɑːnt] ,растение
forest,[ˈfɒrɪst] ,лес 
flower,[ˈflaʊə] ,цветок 
seed,[siːd] ,семя
grass,[grɑːs] ,трава 
Время,,
season,[ˈsiːzn] ,время года
winter,[ˈwɪntə] ,зима
spring,[sprɪŋ] ,весна
summer,[ˈsʌmə] ,лето
fall (Am.) autumn (Br.),[fɔːl] [ˈɔːtəm],осень
January,[ˈʤænjʊəri] ,январь
February,[ˈfɛbrʊəri] ,февраль
March,[mɑːʧ] ,март
April,[ˈeɪprəl] ,апрель
May,[meɪ] ,май
June,[ʤuːn] ,июнь
July,[ʤu(ː)ˈlaɪ] ,июль
August,[ˈɔːgəst] ,август
September,[sɛpˈtɛmbə] ,сентябрь
October,[ɒkˈtəʊbə] ,октябрь
November,[nəʊˈvɛmbə] ,ноябрь
December,[dɪˈsɛmbə] ,декабрь
Monday,[ˈmʌndeɪ] ,понедельник
Tuesday,[ˈtjuːzdeɪ] ,вторник
Wednesday,[ˈwɛnzdeɪ] ,среда
Thursday,[ˈθɜːzdeɪ] ,четверг
Friday,[ˈfraɪdeɪ] ,пятница
Saturday,[ˈsætədeɪ] ,суббота
Sunday,[ˈsʌndeɪ] ,воскресенье
week,[wiːk] ,неделя
day,[deɪ] ,день 
night,[naɪt] ,ночь (вечер)
month,[mʌnθ] ,месяц 
hour,[ˈaʊə] ,час 
minute,[ˈmɪnɪt] ,минута 
morning,[ˈmɔːnɪŋ] ,утро 
moment,[ˈməʊmənt] ,момент 
century,[ˈsɛnʧʊri] ,век
period,[ˈpɪərɪəd] ,период
future,[ˈfjuːʧə] ,будущее 
second,[ˈsɛkənd] ,секунда
time,[taɪm] ,время 
year,[jɪə] ,год 
decade,[ˈdɛkeɪd] ,десять лет 
evening,[ˈiːvnɪŋ] ,вечер 
past,[pɑːst] ,прошлое
beginning,[bɪˈgɪnɪŋ] ,начало
date,[deɪt] ,дата
era,[ˈɪərə] ,эра
present (time),[ˈprɛznt],настоящее
afternoon,[ˈɑːftəˈnuːn] ,день (время суток)
Человек: жизнь,,
life,[laɪf] ,жизнь 
death,[dɛθ] ,смерть 
birth,[bɜːθ] ,рождение 
soul,[səʊl] ,душа 
funeral,[ˈfjuːnərəl] ,похороны 
fate,[feɪt] ,судьба 
wisdom,[ˈwɪzdəm] ,мудрость 
lifetime,[ˈlaɪftaɪm] ,жизнь (продолжительность всей  жизни)
boy,[bɔɪ] ,мальчик 
girl,[gɜːl] ,девушка 
guy,[gaɪ] ,парень 
baby,[ˈbeɪbi] ,малыш
adult,[ˈædʌlt] ,взрослый
youth,[juːθ] ,молодежь 
childhood,[ˈʧaɪldhʊd] ,детство 
teenager (сокр. teen),[ˈtiːnˌeɪʤə],подросток 
man,[mæn] ,человек (мужчина)
woman,[ˈwʊmən] ,женщина 
child,[ʧaɪld] ,ребенок 
kid,[kɪd] ,ребенок 
twins,[twɪnz] ,близнецы 
Человек: личность,,
identity,[aɪˈdɛntɪti] ,личность (установленная личность)
person,[ˈpɜːsn] ,"человек, персона"
individual,[ˌɪndɪˈvɪdjʊəl] ,личность (индивид)
human,[ˈhjuːmən] ,человек 
beauty,[ˈbjuːti] ,красотка
personality,[ˌpɜːsəˈnælɪti] ,личность (персоналия)
gentleman,[ˈʤɛntlmən] ,джентльмен 
lady,[ˈleɪdi] ,леди
name (first name),[neɪm] [fɜːst neɪm],имя 
last name (Am) surname (Br),[lɑːst neɪm]  [ˈsɜː neɪm],фамилия
date of birth,[deɪt əv bɜːθ] ,дата рождения
birthday,[ˈbɜːθdeɪ] ,день рождения 
sex,[sɛks],"пол, секс"
female (person),[ˈfiːmeɪl],женщина
male (person),[meɪl],мужчина 
talent,[ˈtælənt] ,талант 
risk,[rɪsk] ,риск 
ability,[əˈbɪlɪti] ,способность 
height,[haɪt] ,рост
weight,[weɪt] ,вес 
age,[eɪʤ] ,возраст 
Человек: анатомия,,
hand,[hænd] ,рука (кисть)
eye,[aɪ] ,глаз 
body,[ˈbɒdi] ,тело 
face,[feɪs] ,лицо 
heart,[hɑːt] ,сердце 
arm,[ɑːm] ,рука (полностью)
hair,[heə] ,волосы 
mouth,[maʊθ] ,рот 
neck,[nɛk] ,шея 
lips,[lɪps] ,губы
head,[hɛd],голова
back,[bæk] ,спина
foot,[fʊt] ,нога (ступня)
leg,[lɛg] ,нога (полностью)
shoulder,[ˈʃəʊldə] ,плечо 
skin,[skɪn] ,кожа 
finger,[ˈfɪŋgə] ,палец 
brain,[breɪn] ,мозг 
ear,[ɪə] ,ухо 
bone,[bəʊn] ,кость 
knee,[niː] ,колено 
breast,[brɛst] ,грудь 
muscle,[ˈmʌsl] ,мышца
chest,[ʧɛst] ,грудь 
nose,[nəʊz] ,нос 
tooth,[tuːθ] ,зуб 
throat,[θrəʊt] ,горло
stomach,[ˈstʌmək] ,желудок 
hip,[hɪp] ,бедро
cheek,[ʧiːk] ,щека 
voice,[vɔɪs] ,голос 
look,[lʊk] ,взгляд
breath,[brɛθ] ,дыхание 
sight,[saɪt] ,зрение 
hearing,[ˈhɪərɪŋ] ,слух
tongue,[tʌŋ] ,язык (биол.)
gesture,[ˈʤɛsʧə] ,жест 
step,[stɛp] ,шаг 
sleep,[sliːp] ,сон 
profile,[ˈprəʊfaɪl] ,профиль 
tear ,[teə]  ,слеза
sense,[sɛns] ,чувство (физ.)
touch,[tʌʧ] ,прикосновение
Математика,,
number,[ˈnʌmbə] ,число
digit,[ˈdɪʤɪt] ,цифра
value,[ˈvæljuː] ,значение (матем.)
plus,[plʌs] ,плюс
minus,[ˈmaɪnəs] ,минус
fraction,[ˈfrækʃən] ,дробь
odd number,[ɒd] [ˈnʌmbə] ,нечетное число
even number,[ˈiːvən] [ˈnʌmbə] ,четное число
problem,[ˈprɒbləm] ,задача (арифм.)
answer,[ˈɑːnsə] ,ответ 
point,[pɔɪnt] ,точка
brackets,[ˈbrækɪts] ,скобки (матем.)
percent,[pəˈsɛnt] ,процент
half,[hɑːf] ,половина
quarter,[ˈkwɔːtə] ,четверть
degree,[dɪˈgriː] ,степень
addition,[əˈdɪʃ(ə)n] ,сложение
subtraction,[səbˈtrækʃən] ,вычитание 
multiplication,[ˌmʌltɪplɪˈkeɪʃən] ,умножение
division,[dɪˈvɪʒən] ,деление
equality,[i(ː)ˈkwɒlɪti] ,равенство
line,[laɪn] ,линия
shape,[ʃeɪp] ,"форма, геом. Тело"
figure,[ˈfɪgə] ,фигура
form,[fɔːm] ,форма
level,[ˈlɛvl] ,уровень
circle,[ˈsɜːkl] ,круг
square,[skweə] ,квадрат
triangle,[ˈtraɪæŋgl] ,треугольник
rectangle,[ˈrɛkˌtæŋgl] ,прямоугольник
sphere,[sfɪə] ,сфера
cube,[kjuːb] ,куб
cone,[kəʊn] ,конус
majority,[məˈʤɒrɪti] ,большинство
minority,[maɪˈnɒrɪti] ,меньшинство
increase,[ˈɪnkriːs] ,увеличение
decrease,[ˈdiːkriːs] ,уменьшение
combination,[ˌkɒmbɪˈneɪʃən] ,"комбинация, сочетание"
dimension,[dɪˈmɛnʃən] ,измерение (пространств.)
chart,[ʧɑːt] ,схема
table ,[ˈteɪbl]  ,таблица
statistics,[stəˈtɪstɪks] ,статистика
pair,[peə] ,пара
unit,[ˈjuːnɪt] ,единица (напр. измерения)
"amount, number","[əˈmaʊnt], [ˈnʌmbə] ",количество
"Физические явления, характеристики",,
force,[fɔːs] ,сила
power,[ˈpaʊə] ,энергия
strength,[strɛŋθ] ,сила
speed,[spiːd] ,скорость
size,[saɪz] ,размер
length,[lɛŋθ] ,длина
color (colour),[ˈkʌlə],цвет
shape (form),[ʃeɪp] [fɔːm],форма
temperature,[ˈtɛmprɪʧə] ,температура
